,/amdcpu/0/load/1,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/0,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/temperature/0,/amdcpu/1/load/1,/amdcpu/1/load/2,/amdcpu/1/load/3,/amdcpu/1/load/4,/amdcpu/1/load/0,/amdcpu/1/clock/1,/amdcpu/1/clock/2,/amdcpu/1/clock/3,/amdcpu/1/clock/4,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/fan/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/control/0,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/3,/hdd/0/temperature/0,/hdd/2/temperature/0,/hdd/2/load/0,/hdd/3/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","Core #1 - #4","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","Memory","Used Memory","Available Memory","GPU Core","GPU","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Fan","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Temperature","Used Space","Used Space"
05/29/2019 18:38:07,7.8125,1.58730149,7.8125,3.125,5.084324,3200.05176,3200.05176,3200.05176,3200.05176,34.875,1.53846145,3.076923,1.5625,7.69230747,3.467548,3200.04883,3200.04883,3200.04883,3200.04883,51.25621,4.07681274,3.87697983,40,0,139,405.000031,278,0,4,0,0,4096,655.2461,3440.754,15.9972191,36,32,56.243206,59.80607
05/29/2019 18:38:08,9.375,1.51515007,6.25,4.6875,5.45691252,3200.0498,3200.0498,3200.0498,3200.0498,34.875,6.25,4.6875,6.153846,4.76190472,5.463314,3200.05176,3200.05176,3200.05176,3200.05176,51.20643,4.072853,3.88093948,40,0,139,405.000031,278,1,5,0,0,4096,655.2461,3440.754,15.9972191,36,32,56.243206,59.80607
05/29/2019 18:38:09,12.5,1.5625,6.25,1.5625,5.46875,3200.05225,3200.05225,3200.05225,3200.05225,34.75,7.8125,3.174603,6.349206,10.76923,7.02638626,3200.0498,3200.0498,3200.0498,3200.0498,51.1945343,4.071907,3.88188553,40,0,139,405.000031,278,21,14,0,0,4096,655.2461,3440.754,15.9972191,36,32,56.243206,59.80607
05/29/2019 18:38:10,10.9375,0,4.6875,0,3.90625,3200.05151,3200.05151,3200.05151,3200.05151,34.75,3.174603,0,1.5625,3.174603,1.97792053,3200.05078,3200.05078,3200.05078,3200.05078,51.1945343,4.071907,3.88188553,39,0,139,405.000031,278,0,5,0,0,4096,655.2461,3440.754,15.9972191,36,32,56.243206,59.80607
05/29/2019 18:38:11,4.6875,1.58730149,14.0625,1.58730149,5.481148,3200.04834,3200.04834,3200.04834,3200.04834,34.75,3.125,4.6875,4.6875,7.8125,5.078125,3200.05151,3200.05151,3200.05151,3200.05151,51.14739,4.068157,3.88563538,40,0,139,405.000031,278,2,5,0,0,4096,639.8711,3456.129,15.6218529,36,32,56.243206,59.80607
05/29/2019 18:38:12,10.9375,0,4.6875,1.5625,4.296875,3200.05249,3200.05249,3200.05249,3200.05249,34.75,4.6875,3.125,3.125,6.25,4.296875,3200.05054,3200.05054,3200.05054,3200.05054,50.9774628,4.05464172,3.89915085,40,0,139,405.000031,278,3,6,0,0,4096,639.8711,3456.129,15.6218529,36,32,56.243206,59.80607
05/29/2019 18:38:13,6.25,1.53846145,6.25,0,3.50961685,3200.051,3200.051,3200.051,3200.051,34.625,3.125,1.5625,3.125,3.125,2.734375,3200.051,3200.051,3200.051,3200.051,50.97473,4.05442429,3.89936829,40,0,139,405.000031,278,5,8,0,0,4096,649.0586,3446.94141,15.8461571,36,32,56.243206,59.80607
05/29/2019 18:38:14,6.25,1.58730149,3.125,1.5625,3.131199,3200.05127,3200.05127,3200.05127,3200.05127,34.5,0,1.5625,1.5625,3.125,1.5625,3200.04956,3200.04956,3200.04956,3200.04956,50.9592857,4.053196,3.90059662,39,0,139,405.000031,278,0,4,0,0,4096,649.0586,3446.94141,15.8461571,36,32,56.243206,59.80607
05/29/2019 18:38:15,6.25,3.125,9.375,0,4.6875,3200.05029,3200.05029,3200.05029,3200.05029,34.5,4.6875,0,3.125,6.25,3.515625,3200.05249,3200.05249,3200.05249,3200.05249,50.95622,4.052952,3.90084076,39,0,139,405.000031,278,0,5,0,0,4096,649.0586,3446.94141,15.8461571,36,32,56.243206,59.80607
05/29/2019 18:38:16,6.25,1.53846145,4.6875,0,3.11899185,3200.05078,3200.05078,3200.05078,3200.05078,34.5,0,3.125,0,4.6875,1.953125,3200.05029,3200.05029,3200.05029,3200.05029,50.9620667,4.053417,3.90037537,40,0,139,405.000031,278,15,12,0,0,4096,649.0586,3446.94141,15.8461571,36,32,56.243206,59.80607
